file_path,split,label,target_multiclass,snr,burst_id,t_start,t_end,t_center,dur_ms,z_peak,drop_b,n_act_burst,global_nf,global_ns,global_H_mean,global_p75_act,is_dummy
IQdata_sample10058_target4_snr12.pt,train,0,4,12,1,25.088,26.697142857142858,25.89257142857143,1.6091428571428565,27.520811620530644,0.30063533782958984,106.0,10.393964767456055,0.010923926925659178,10.33375358581543,127.0,False
IQdata_sample15880_target4_snr26.pt,train,0,4,26,1,13.677714285714286,15.798857142857143,14.738285714285714,2.121142857142857,4.073667803422194,0.028493881225585938,127.5,10.39844036102295,0.006994650077819824,10.390077590942383,138.0,False
IQdata_sample15880_target4_snr26.pt,train,0,4,26,2,18.724571428571426,20.69942857142857,19.711999999999996,1.974857142857143,4.2093294763723605,0.029442787170410156,132.0,10.39844036102295,0.006994650077819824,10.390077590942383,138.0,False
IQdata_sample15880_target4_snr26.pt,train,0,4,26,3,62.02514285714286,62.53714285714286,62.28114285714286,0.5120000000000005,4.056488536294836,0.02837371826171875,126.5,10.39844036102295,0.006994650077819824,10.390077590942383,138.0,False
IQdata_sample13134_target4_snr10.pt,train,0,4,10,1,72.92342857142857,74.45942857142857,73.69142857142857,1.5360000000000014,30.0,2.08614444732666,153.0,10.397499084472656,0.007160078430175781,10.373369216918945,140.0,False
IQdata_sample7181_target5_snr28.pt,train,1,5,28,1,39.424,49.00571428571429,44.21485714285714,9.581714285714291,30.0,8.692328453063965,389.0,10.39576530456543,0.008467952156066895,9.623580932617188,249.0,False
IQdata_sample3635_target1_snr8.pt,train,1,1,8,1,3.730285714285714,4.973714285714285,4.351999999999999,1.2434285714285713,30.0,3.0992746353149414,425.0,10.360239028930664,0.10255002536773682,10.0930757522583,400.0,False
IQdata_sample3635_target1_snr8.pt,train,1,1,8,2,16.31085714285714,18.358857142857143,17.334857142857143,2.048000000000002,30.0,3.1567163467407227,443.0,10.360239028930664,0.10255002536773682,10.0930757522583,400.0,False
IQdata_sample3635_target1_snr8.pt,train,1,1,8,3,34.523428571428575,36.42514285714286,35.47428571428571,1.9017142857142844,30.0,3.17581844329834,433.0,10.360239028930664,0.10255002536773682,10.0930757522583,400.0,False
IQdata_sample3635_target1_snr8.pt,train,1,1,8,4,65.97485714285715,66.99885714285715,66.48685714285715,1.024000000000001,29.520685870648943,3.0273470878601074,99.0,10.360239028930664,0.10255002536773682,10.0930757522583,400.0,False
IQdata_sample3635_target1_snr8.pt,train,1,1,8,5,72.99657142857143,74.31314285714285,73.65485714285714,1.3165714285714216,30.0,3.1494855880737305,322.0,10.360239028930664,0.10255002536773682,10.0930757522583,400.0,False
IQdata_sample11248_target4_snr8.pt,train,0,4,8,1,32.32914285714286,36.205714285714286,34.267428571428574,3.876571428571424,24.18516027156702,0.1964550018310547,421.0,10.395910263061523,0.008122956275939942,10.38192081451416,139.0,False
IQdata_sample3391_target1_snr28.pt,train,1,1,28,1,14.04342857142857,15.360000000000001,14.701714285714285,1.3165714285714305,30.0,3.323334217071533,460.0,10.344504356384277,0.10224037742614746,10.132847785949707,477.0,False
IQdata_sample3033_target1_snr4.pt,train,1,1,4,1,6.656,8.265142857142859,7.460571428571429,1.6091428571428592,30.0,1.672429084777832,139.0,10.398900032043457,0.007698781013488769,10.343914985656738,137.0,False
IQdata_sample3033_target1_snr4.pt,train,1,1,4,2,44.47085714285714,46.665142857142854,45.568,2.194285714285712,30.0,1.6355276107788086,137.0,10.398900032043457,0.007698781013488769,10.343914985656738,137.0,False
IQdata_sample3033_target1_snr4.pt,train,1,1,4,3,57.05142857142857,58.66057142857143,57.856,1.6091428571428565,30.0,1.7397775650024414,145.0,10.398900032043457,0.007698781013488769,10.343914985656738,137.0,False
IQdata_sample3584_target1_snr12.pt,train,1,1,12,1,10.971428571428572,13.238857142857142,12.105142857142857,2.267428571428571,30.0,2.736987590789795,140.0,10.397515296936035,0.007123316574096679,10.310111999511719,137.0,False
IQdata_sample3584_target1_snr12.pt,train,1,1,12,2,24.21028571428571,25.81942857142857,25.01485714285714,1.60914285714286,30.0,2.7172532081604004,144.0,10.397515296936035,0.007123316574096679,10.310111999511719,137.0,False
IQdata_sample3584_target1_snr12.pt,train,1,1,12,3,42.42285714285715,45.49485714285714,43.95885714285714,3.0719999999999956,30.0,2.9382128715515137,137.0,10.397515296936035,0.007123316574096679,10.310111999511719,137.0,False
IQdata_sample17030_target4_snr18.pt,train,0,4,18,1,61.22057142857143,62.31771428571429,61.76914285714286,1.097142857142856,5.193653960133899,0.032935142517089844,131.0,10.397806167602539,0.006341420173645019,10.390678405761719,136.0,False
IQdata_sample14544_target4_snr26.pt,train,0,4,26,1,0.0,0.512,0.256,0.512,21.117500378625298,0.15460681915283203,188.5,10.396180152893066,0.007321265029907226,10.386223793029785,150.0,False
IQdata_sample10312_target4_snr22.pt,train,0,4,22,1,55.51542857142858,56.68571428571429,56.100571428571435,1.1702857142857113,4.951501273982036,0.035775184631347656,148.0,10.398978233337402,0.00722511863708496,10.389998435974121,150.0,False
IQdata_sample10312_target4_snr22.pt,train,0,4,22,2,60.70857142857143,62.098285714285716,61.40342857142858,1.389714285714284,4.743874277901377,0.034275054931640625,130.0,10.398978233337402,0.00722511863708496,10.389998435974121,150.0,False
IQdata_sample10312_target4_snr22.pt,train,0,4,22,3,66.12114285714287,69.12,67.62057142857144,2.9988571428571333,4.042720684016788,0.029209136962890625,112.5,10.398978233337402,0.00722511863708496,10.389998435974121,150.0,False
IQdata_sample10957_target4_snr2.pt,train,0,4,2,1,21.72342857142857,25.673142857142857,23.698285714285714,3.949714285714286,30.0,0.34780120849609375,236.0,10.389984130859375,0.009408207321166992,10.365814208984375,191.0,False
IQdata_sample3527_target1_snr30.pt,train,1,1,30,1,15.433142857142856,17.042285714285715,16.237714285714286,1.6091428571428583,30.0,3.3826889991760254,149.0,10.396427154541016,0.013384143447875975,10.170584678649902,214.0,False
IQdata_sample3527_target1_snr30.pt,train,1,1,30,2,53.17485714285714,54.784,53.97942857142857,1.6091428571428565,30.0,3.353332042694092,153.0,10.396427154541016,0.013384143447875975,10.170584678649902,214.0,False
IQdata_sample10994_target4_snr22.pt,train,0,4,22,1,65.60914285714287,67.072,66.34057142857144,1.462857142857132,13.70888882586238,1.2150382995605469,280.5,10.357288360595703,0.08863142108917235,10.256983757019043,412.0,False
IQdata_sample4127_target1_snr4.pt,train,1,1,4,1,10.53257142857143,12.141714285714286,11.337142857142858,1.6091428571428565,30.0,1.7814760208129883,139.0,10.396836280822754,0.006142057800292968,10.342180252075195,137.0,False
IQdata_sample4127_target1_snr4.pt,train,1,1,4,2,23.186285714285713,25.746285714285715,24.466285714285714,2.5600000000000023,30.0,1.7959814071655273,137.0,10.396836280822754,0.006142057800292968,10.342180252075195,137.0,False
IQdata_sample4127_target1_snr4.pt,train,1,1,4,3,40.228571428571435,43.95885714285715,42.09371428571429,3.7302857142857135,30.0,1.6641063690185547,142.0,10.396836280822754,0.006142057800292968,10.342180252075195,137.0,False
IQdata_sample16198_target4_snr22.pt,train,0,4,22,0,35.0,35.5,35.25,0.5,0.0,0.0,0.0,10.398872375488281,0.0064474639892578125,10.390581130981445,137.0,True
IQdata_sample559_target0_snr12.pt,train,1,0,12,1,0.0,1.9017142857142857,0.9508571428571428,1.9017142857142857,30.0,3.498025894165039,215.0,10.348668098449707,0.09694525623321533,10.081850051879883,442.0,False
IQdata_sample559_target0_snr12.pt,train,1,0,12,2,41.10628571428571,44.690285714285714,42.89828571428571,3.584000000000003,30.0,3.161625862121582,396.0,10.348668098449707,0.09694525623321533,10.081850051879883,442.0,False
IQdata_sample5990_target3_snr24.pt,train,1,3,24,1,0.0,6.8754285714285714,3.4377142857142857,6.8754285714285714,30.0,5.5820159912109375,284.0,10.378206253051758,0.049972087669372556,9.484561920166016,248.0,False
IQdata_sample5990_target3_snr24.pt,train,1,3,24,2,49.664,56.90514285714286,53.28457142857143,7.2411428571428615,30.0,5.7298784255981445,401.0,10.378206253051758,0.049972087669372556,9.484561920166016,248.0,False
IQdata_sample2276_target1_snr20.pt,train,1,1,20,1,42.78857142857143,46.518857142857144,44.65371428571429,3.7302857142857135,30.0,3.138455867767334,135.0,10.394529342651367,0.007892487716674805,10.282025337219238,136.0,False
IQdata_sample2276_target1_snr20.pt,train,1,1,20,2,54.63771428571429,57.19771428571429,55.91771428571429,2.5600000000000023,30.0,3.110818386077881,129.5,10.394529342651367,0.007892487716674805,10.282025337219238,136.0,False
IQdata_sample2276_target1_snr20.pt,train,1,1,20,3,61.732571428571426,64.14628571428571,62.939428571428564,2.413714285714285,30.0,3.1378989219665527,157.5,10.394529342651367,0.007892487716674805,10.282025337219238,136.0,False
IQdata_sample7476_target5_snr12.pt,train,1,5,12,1,39.05828571428572,57.270857142857146,48.164571428571435,18.21257142857143,30.0,8.583710670471191,121.0,10.365992546081543,0.03429598388671875,9.06788158416748,268.0,False
IQdata_sample12209_target4_snr24.pt,train,0,4,24,1,38.47314285714286,40.74057142857143,39.606857142857145,2.2674285714285674,4.028091330154903,0.02546977996826172,129.0,10.398996353149414,0.006323039245605468,10.390048027038574,138.0,False
IQdata_sample12209_target4_snr24.pt,train,0,4,24,2,46.44571428571428,48.566857142857145,47.50628571428571,2.121142857142864,4.114966703883485,0.02601909637451172,123.0,10.398996353149414,0.006323039245605468,10.390048027038574,138.0,False
IQdata_sample12716_target4_snr8.pt,train,0,4,8,1,2.048,6.509714285714285,4.2788571428571425,4.461714285714285,30.0,1.0323410034179688,233.0,10.396720886230469,0.00718128719329834,10.344066619873047,135.0,False
IQdata_sample486_target0_snr20.pt,train,1,0,20,1,67.21828571428571,73.14285714285715,70.18057142857143,5.92457142857144,30.0,3.2320895195007324,299.0,10.396746635437012,0.009289438247680663,10.289731979370117,227.0,False
IQdata_sample1730_target1_snr24.pt,train,1,1,24,1,13.458285714285715,16.018285714285714,14.738285714285714,2.5599999999999987,30.0,3.1984548568725586,116.0,10.396977424621582,0.009688162994384766,10.230791091918945,220.0,False
